bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water,Cluster
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42475353830637314,0.0,0.5908222888950019,0.0,0.0,0.0,0.6512544351171953,0.0,0.21536275300355504,"Cluster 13: rock, ice, water, fire, ghost"
0.0,0.0,0.0,0.0,0.0,0.0,0.3635499937344105,0.40895886124165787,0.0,0.3478060277946376,0.6896314440073754,0.3225267280918817,0.0,0.0,0.0,0.0,0.0,0.0,"Cluster 14: ground, grass, flying, fire, ice"
0.0,0.38646869651539617,0.0,0.0,0.0,0.0,0.31101300987208164,0.0,0.3441723552415583,0.0,0.0,0.2759180585802225,0.0,0.0,0.0,0.6843156414420036,0.0,0.3017276454331253,"Cluster 13: rock, ice, water, fire, ghost"
0.887033351555671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29269839829529565,0.0,0.0,0.0,0.0,0.24830438511685304,0.0,0.0,0.0,0.25660166249466027,"Cluster 8: bug, flying, normal, poison, ghost"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5429801627645879,0.0,0.0,0.0,0.0,0.8397455226698988,0.0,0.0,"Cluster 2: rock, ground, flying, ghost, ice"
0.0,0.0,0.5587457266165708,0.0,0.0,0.20279629225292484,0.2860657423942148,0.3217965129034036,0.3165652792281465,0.0,0.13566217467224467,0.12689293013849431,0.31465224610309556,0.0,0.0,0.41961644858864056,0.22690670963029444,0.0,"Cluster 1: dragon, rock, flying, fire, steel"
0.0,0.16750310154864329,0.7021084201963069,0.0,0.0,0.0,0.2695982585149796,0.0,0.14917103892259437,0.0,0.2557054593946499,0.2391765801586795,0.0,0.0,0.0,0.4943263340312931,0.0,0.13077467046805016,"Cluster 1: dragon, rock, flying, fire, steel"
0.0,0.0,0.0,0.0,0.0,0.0,0.4444353015903863,0.0,0.0,0.4251885009542584,0.0,0.3942848745451882,0.0,0.4172247074404667,0.0,0.32596067134767626,0.0,0.4311665841611652,"Cluster 13: rock, ice, water, fire, ghost"
0.0,0.32334383102370645,0.0,0.0,0.0,0.0,0.2602128943870268,0.2927145394112046,0.0,0.2489440647434429,0.4936074740701576,0.23085026785965934,0.0,0.0,0.6189853657003045,0.0,0.0,0.0,"Cluster 15: psychic, dark, ground, flying, rock"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29157514579841237,0.0,0.0,0.0,0.0,0.0,0.9565479258001842,"Cluster 5: water, ice, rock, grass, poison"
0.0,0.0,0.8901050880267574,0.0,0.0,0.0,0.1367143732930828,0.307581105107383,0.0,0.0,0.0,0.12128741647995407,0.15037621866642473,0.0,0.0,0.10026995772392995,0.2168830727053781,0.0,"Cluster 1: dragon, rock, flying, fire, steel"
0.0,0.2827382679806906,0.2962824521241987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21581008958647463,0.20186005927768325,0.0,0.0,0.0,0.8344022899221605,0.0,0.22074220406685693,"Cluster 17: rock, ghost, ground, fire, dragon"
